file_name,file_origin,text
EFTA02823690.pdf,court-records-state-florida-v-epstein-no-50-2008-cf-009381-axxx-mb-fla-15th-cir-ct-2008-1,"                                 (04
              IN THE CIRCUIT OURT OF THE FIFTEENTH JUDICIAL CIRCUIT
                 IN AND FOR PALM BEACH COUNTY, STATE OF FLORIDA
                             CRIMINAL DIVISION ""W"" (LB)
                                                                9               05/ CF 3-/
 STATE OF FLORIDA                               ARISES FROM BOOKING NO.:
                                                2006036744
 vs.
                                                                                         ;3'12
                                                                                            _. a)
 JEFFREY E EPSTEIN, W/M, 01/20/1953                                                            co
                                                                                        __n c_
                                                                                               5        -n
                                                          /
                                                                                                 •••2
                                                   INFORMATION FOR:
                                                                                           - o
                                                                                        :L.,. -._„-•-
                                                                                                        Ill
I)      PROCURING PERSON UNDER 18 FOR PROST1TUION
                                                                                       .gin c.t) 0
                                                                                       -Sri CO
In the Name and by Authority of the State of Florida:
                                                               ial Circuit, Palm Beach CaRnty,lorida, by and
BARRY E. KRISCHER, State Attorney for the Fifteenth Judic
                                                               JEFFREY E EPSTEIN on or about or between
through his undersigned Assistant State Attorney, charges that
                                                             and Four and October 9, 2005, did knowingly and
the I ° day of August in the year of our Lord Two Thousand
                                                                 ,111 a person under the age of 18 years,
unlawfully procure for prostitution, or caused to be prostituted
contrary to Florida Statute 796.03. (2 DEG FEL)




                                                         L. BAR NO. 0776726
                                                        Asartant State Attorney

STATE OF FLORIDA
COUNTY OF PALM BEACH
                                                                        State Attorney for Palm Beach County,
        Appeared before me, LANNA‘LO LAVEK Assistant
                                                                  , says that the allegations as set forth in the
Florida, personally known to me, who, being first duly sworn
                                                               sworn to as true, and which, if true, would constitute
foregoing information are based upon facts that have been
                                                              ted in good faith, and certifies that testimony under
the offense therein charged, that this prosecution is institu
                                                                    for the off
oath has been received from the material witness or witneas

                                                        Assistant State Attorney

                                                                     e, 2008.
        Sworn to and subscribed to before me thia(aS 'day ofJun

                                                        rc         ALP
                             oarnoris Pria               NOTARY PUBLIC,
                     MY COMMON 0 C0503791 EGIES
LB/dp                       August 2, 20I0
                       CIDIDINIUMOYMPINIULUCE OC


FCIC REFERENCE NUMBERS:
I) FELONY SOLICITATION OF PROSTITUTION 3699




                                                                                     CA,) n c)
                                                                                                         EFTA02823690
"
EFTA02823691.pdf,court-records-state-florida-v-epstein-no-50-2008-cf-009381-axxx-mb-fla-15th-cir-ct-2008-1,"                          i mpolRCUIT CRIMINAL- FELONY      „woe


CASE NUMBER            062ox-O0 4-)(\(     S1 /           DIVISION   LA)
                           F 60""13S))n\LY
STATE OF FLORIDA vs.
                                      TeAttit
   CANCEL from the following calendar:


DATE                                               TIME

       D to the following calendar:


DATE

  CHANGE:
                     (,I3O)ee                      TIME




FROM:


COMMENTS:                                 (S‘
                                  cf  (S L47:I. 4-f -(2     4-v , (




                                 ""CLERK TO NOTICE ALL PARTIES""




 Requested by:                                    Date:




                                                                           EFTA02823691
"
EFTA02823692.pdf,court-records-state-florida-v-epstein-no-50-2008-cf-009381-axxx-mb-fla-15th-cir-ct-2008-1,"vb
     Case No.:     2008CF009381AX/C  A       ST of FL vs.     JEFFREY EPSTEIN
     Charges: PROCURE PERSON UNDER AGE OF 18 FOR PROSTITUTION

(ARISES FROM 20060/009454Na )

     Arrest*.                                        Bond*
     Date                                            Judge                                                            Crt. Rep. La         gO_
     AS                                                                                                                          Int
       ft---Pres          of Pres.        /    /0     ef.                                                                         EsiiCrD:Werl Not Pres.
 lierore t e Court for:
   O Granted O Denied                         With / Without Prejudice O Withdrawn                  O Court Reserves Ruling             O Written Order to Follow
     O Warrant O Ordered O Recalled O Bond Set at 5                                   O See Below O Also Covers O Sp Cond
     O Bond Forf O OR Disch / Revoked / Reinstated       O Bond: Disch / Revoked O SOR: Disch / Revoked / Reinstated
     O Bond Forf Vacated O Previous Bond Reinstated, if Bondsman agrees O State failed to file charges 0 Released O.R. /S.O.R.
     O Deft      Indigent O PD Appt O Hrg only PD Pres                                 O Co Ap is
     Evaluation for: O Drug Farm O DOC Non-Secure Bed by
                      O Pre-Plea O PSI ordered by/within               days      O wfinPu _    I / Staffing
     O Referred to: PTI / SAAP/ PADD O Case pla          n the absentee docket
     DEFT ENTERED A PLEA •              GUILTY          UILTY O NO CONTEST 0 BEST INTEREST O TO THE COURT
       Charged-Cts                                   sser Cts                Losier Charge
        Sw & Test      Adv of Rts Waived PSI      Lesser CIS                 Leiser Charge
       AIX GUILTY as Charged as to Cts ___C2---,7--
       FOUND GUILTY as Charged as to Cts
       ADJ W/HELD as to Cts                                                                               /HELD as to Cts
     O




     O FOUND AND ADJUDICATED DELINQUENT as to Cts                                                                       O Dispo Order to follow / Filed
     O FOUND & ADJ NOT GUILTY as to Cts                                                              amiss O Nolle Prosse Cts
     Prob / Comm Control: O Revoked                     O Reinstated                                 Term. Successfully / Unsuccessfully
     Cl Deft. to pay fine or complete                     hrs. Comm                       •odor Serve         days PBCJ.
     O Stip/Found: IviolentyHM Off. 775.084                                               ound     icual             Sexual Predator CI Stip/Found: P.R.R.
     SENTENCE: PBCICI                                                                            11X/C:                           Cts.
                    PBC.I•                                                                        / DOC:                           Cts.
                      t for                                                                            O Deft to remain on same rel. status pending sent.
            nc             Co-Term w/cases

     O Execution of Sentence Sta                    CI Sentence Suspended                  Time served as to Cts
                                                                                     Cl




       Youthful Off O Habit                          O Min / Mend-                                     as to C)i i
            ABOVE SENTENCE                            OWED By: O Probation                 O Drug Off Prob           Comm. Control




                                                      Set / Remains Set / Reset                                      Div            Rm             at -        AM/PM

                                                      Set / Remains Set / Reset                                      Divr                          at          AM/PM
     O Deft sign
                                                                                                 ME!: air                                   O
     O Def Co                                                      O ASA                                                              Bondsman
     O Prob CI Jail O DJJ O GAL                             Notified by mail by:                                           on         /         /
      O County Courthouse                                   O Courtroom. Criminal Justice Bldg.                      O Courtroom. Criminal Justice Complex
       205 N. Dixie. West Palm Beach                          38844 State Road 80, Belle Glade                         3228 Gun Club Rd.. West Palm Beach
         IF YOU ARE A PERSON WTI A MAMMY WHO HEEDS ANY ACCOIMACCIARONII ORDER TO PARTCIPAIE DI THIS PROCEED/f1, YOU ARE Et477111D, AT NO COST TO MI, TO THE PROVISKS OF
         CERTAIN ASSISTANCE PLEASE CONTACT ROBIN SWETT, ADA COORDINATOR 14 THE ADISESTRJOIVE OFFCE OF TIE COURT, PALM BEACH COUNTY COURTHOUSE, 205 N OMR MY, NI MOM
          WEST PAW BUCK FL 33401; IILEPHOPIE (5.1)355-0a WIDEN 2 WORKING DAYS OF YOUR WEFT OF 1TES ROTC! F YOU ARE REARM OR VOICE IMPAIRED. CALL 140040:64771.
          Edam 611 snap rcv 102


                                                                                                                                                        EFTA02823692
                                  im-se                                  ...gn/ DATE 6
                                                  Page 2
CASE NO. WC  -6         3 /IY                         NAM
TERM OF Prob / Sex Off / Drug Off Flrob(C.C.9C C Il• ____a                  @rOos yis-as tiCts _L___
0 conc w/ 0 consec. w/

El Probation transferred to:
SPECIAL CONDITIONS:
U Complete Originally Ordered Conditions
 0 Curfew:            p.m., with the following exception:
 0 Deft. to report to Prob. Dept. immediately upon release
 0 Deft. not to have in care, custody, or control any unlawful or illegal material, subst., device, or object.
 0 Deft. to immediately notify Prob. Officer if place of residence or job changes.
 0 Restitution CRO filed
 0 Subject to all ordinary and special conditions of Probation
 0 Substance Abuse Eval. / Psychological Eval. / Psychosexual Eval. within / by
     and deft. to successfully complete recommended treatment
 0 Random Drug/Alcohol Testing              0 At Deft's Expense         CI Costs Waived
 U No Consumption/Possession of Alcohol or Drugs or Intoxicants without a Prescription.
 0 Attend                     AA and/or NA Meetings per Week.
 CI Deft. not to frequent any place of business whose primarypurpose is the sale of alcohol.
 0 Complete            Hrs. of Community Service to be done at the rate of            Hrs. per Wk / Mo.(Min.)
 0 License Revoked / Suspended for                              mos / yrs
 U Attend and successfully complete DUI school      and  1 session  of Victim Impact Panel
-L.I No Contact / No Violent Contact / No Direct or Indirect contact wNictim(s) or others listed:

0 No Contact w/Minor Children w/o Adult Supervision aware of this case and the disposition.
0 Cost of Supervision: $              per month 0 Waived by Court.
U Enter and Successfully Complete DOC Non-Secure Bed Program and Any Recommended Aftercare.
0 Hold in Custody, release only to DOC Non-Secure Bed Program Officer.
0 Enter and Successfully Complete PBSO Long / Short Track Drug Farm and Any Rec. Aftercare.
0 Forfeit Weapon / Money seized at the time of arrest to:
0 Enter and Complete: 0 Anger Management Program                 0 Batterers Intervention Program
      CI Theft Abatement Program:                                CI Other:
0 Defendant may apply for Early Termination after                , provided all conds. are satisfied.
Cl Serve                  days / month in P C with credit for                         days / months.

                       ii                  e           Oaf"";
                     nr1U5-1-               i         _13-5 n -      egmci, OgtoinCe—
 u Lo t -14 Lr; kolies oP                                    Plicitse' •

 U
 0
 0
  0
  CI
 FORM 373 rev 3/02


                                                                                                 EFTA02823693
                                        qONe                                      DATE* 6 / 3 0 / 07
                                                 Page 2
CASE Nag 00Z Cc            3227                                  NAME-) €
TERM OF Prob / Sex Off / Drug Off Prob C.C.          C.C. II:                cino'zyre4s tOCts j_-
0 conc w/ 0 consec. w/

CI Probation transferred to:
SPECIAL CONDITIONS:
CI Complete Originally Ordered Conditions
CI Curfew:           p m , with the following exception:
0 Deft. to report to Prob. Dept. immediately upon release
0 Deft. not to have in care, custody, or control any unlawful or illegal material, subst., device, or object.
0 Deft. to immediately notify Prob. Officer if place of residence or job changes.
0 Restitution CRO filed
CI Subject to all ordinary and special conditions of Probation                      Allic
0 Substance Abuse Eval. / Psychological Eval. / Psychosexual Eval. within/
   and deft. to successfully complete recommended treatment
0 Random Drug/Alcohol Testing              0 At Deft's Expense         0 Costs Waived
0 No Consumption/Possession of Alcohol or Drugs or Intoxicants without a Prescription.
0 Attend                    AA and/or NA Meetings per Week.
0 Deft. not to frequent any place of business whose primary purpose is the sale of alcohol.
0 Complete           Hrs. of Community Service to be done at the rate of             Hrs. per Wk / Mo.(Min.)
0 License Revoked / Suspended for                              mos / yrs
0 Attend and successfully complete DUI school and 1 session of Victim Impact Panel
0 No Contact / No Violent Contact / No Direct or Indirect contact wNictim(s) or others listed:

0 No Contact w/Minor Children w/o Adult Supervision aware of this case and the disposition.
C1 Cost of Supervision. $              per month CI Waived by Court.
0 Enter and Successfully Complete DOC Non-Secure Bed Program and Any Recommended Aftercare.
0 Hold in Custody, release only to DOC Non-Secure Bed Program Officer.
0 Enter and Successfully Complete PBSO Long / Short Track Drug Farm and Any Rec. Aftercare,
0 Forfeit Weapon / Money seized at the time of arrest to:
CI Enter and Complete: CI Anger Management Program                CI Batterers Intervention Program
      0 Theft Abatement   Program:                                0 Other:
0 Defendant may apply for Early Termination after                 , provided all conds. are satisfied.
0 Serve                   days / m  nths 'n PBCJ, with credit for                      days / months.

.51. e Q. A44eLio    GC Ca e4P/14-C
""El Deg- alyS-1-ftc@/ .S'itetv--4-5 Si 5 )e)(usbz 0 -P1                                                   --
 o tAl/N 24 o'f is s O ic Re- I to /1se ,

o
o
o
U
                                                       1     1        ----
FORM 373 rev NM
                                                         I
                                                                                               EFTA02823694
"
EFTA02823695.pdf,court-records-state-florida-v-epstein-no-50-2008-cf-009381-axxx-mb-fla-15th-cir-ct-2008-1,"     (1 -""II91RIMINAL DIVISION OF THE C RCUIT COURT OF THE
      FIFTEENTH JUDICIAL CIRCUIT OF FLORIDA.
      IN AND FOR PALM BEACH COUNTY


                                                                                                          CFN 20060267252
                                                                                                          OR BK 22760       PG 0565
                                                                                                          RECORDED 07/17/2008 08:06:42
     STATE OF FLORIDA                                                    I I         COMMUNITY            Palm Beach County, Florida
                                                                                     CONTROL              Sharon R. Bock,CLERK &
                                                                                                                                 COMPTROLLER
                                                                                     VIOLATOR             Pg 0565; (
                                                                                                                     iFig)
                                                                          I          PROBATION
     Tiff-vex                          epsh                                          VIOLATOR

                                           EFENDANT


     DAV E OF IRTH                       RACE                   GENDER              SOCIAL SECURITY NUMBER


                                                                         JUDGMENT
                                                                                                                                                                J
     The above Defendant, being personally before this Court represented by              5• 4fi          daotck
                                                                                                                                                         (=me .)
                                                                                                   v              b
          (    )       Hat ing been tried and found guilty of     )4_,         Having entered a plea of guilty to  f    j      Having entered a plea of nolo
                       the following crime(s)                                  the following crime(s).                         contendere to the following
                                                                                                                               crimc(s)


              COUNT                                                                                 OFFENSE STATUTE lliNII3ER(S)                    DEGREE


                                                                                                  7 ' 141 .03                                     v-F

     )(            and no cause havin    n shown why the Defendant should not he adjudicated guilty. IT IS ORDERED THAT the Defendant is hereby
                   ADJUDICATED        IL     the above crime(s)

 I    I            and hat ing been cons d ed or found guilty of. or having entered a plea of nolo contendere or guilty.regardless of adjudication. to attempts or
                   offenses relating t    ual battery (ch. 794). lewd and lascivious conduct (ch. 800). or murder (s. 782.04). aggravated battery (s 784 045).
                   burglary (s 84002). carjacking (s. 81_.133). or home invasion robbery (s. 813.13$). or any other offense specified in Section 917.3'_5. the
                   defendant Sly he required to submit blond specimens.

I     Iand good cause being shown: IT IS ORDERED THAT ADJUDICATION OF GUILT BE WITIMIELAIN ay
                                                                                                                .
                                                                                                                    lima
                                                                                                                    t`""
                                                                                                                                    nQ
SENTENCE        I I The Coon hereby stays and withholds imposition of sentence as to count's) and places the Defendant on
STAYED                   I I Probation and/or I I Community Control under the supervision of the Dept of Corrections(conditions of probation
                         set forth in separate order).
SENTENCE
DEFERRED       1 I The Court hereby defers imposition of sentence until

The Defendant in Open Court was advised of his right to appeal from the Judgment by filing notice of appeal with the Clerk of Court within thirty days
follow ing the date sentence IN imposed or probation is ordered pursuant to this adjudication. The defendant was also advised of his right to the assistance
of counsel in taking said appeal at the expense of the State upon showing of indigency.

          E AND ORDERED in Open CourJ.:ft PaInkBejch County. Florida. this                 3D day orittAl...4                    . 200

                                                                                                                   itriLi 1     JUL          (U 08 g,i4:4"".
                           CIRCUIT COURT JUDGE
                                                                                                                                               EFTA02823695
"
EFTA02823696.pdf,court-records-state-florida-v-epstein-no-50-2008-cf-009381-axxx-mb-fla-15th-cir-ct-2008-1,"IN THE CRIMINAL DIVISION                             OF THE CIRCUIT COURT OF THE
                                  IDA,
FIFTEENTH JUDICAL CIRCUIT OF FLOR
IN AND FOR PALM BEACH COUNTY


                                                               DIV. W
CASE NO. 502008CF009381AXXXMB


OBTS NUMBER:


STATE OF FLORIDA                                                    1 COMMUNITY
                                                                      CONTROL
                                                                      VIOLATOR




                                                                                                             cos
V


                                                                   I I PROBATION
JEFFREY E EPSTEIN
          DEFENDANT                                                   VIOLATION




2 0 -Jan-        1 9          5        3W            H     I         T
                                                                                                                             SOCIAL SECURITY NUMBER
      DATE OF BIRTH                                      RACE



                                                               by Deputy She
The fingerprints below are those of said Defendant taken

                                                                                                    4. R. RING                  S. R. LITTLE
                              2. R.. INDEX                          3. R. miras y
1. R. THUMB

                                                     .                                                                                              s.,
                                                /              I
       .1.7
              ...                                                                                                                                   • ....

                                                                              . t.
                                                                                                     9. L RING                   10. I.. LITTLE
                                  7.            EX                  B. L. MIDDLE
 6. L. THUMB

                                                                                                                .

                                                                              .                             4
                      •                                                   .                                                                    1
                                                                                            .                                              .

                          a                 I                                     ......
                                                                                                                                               #
                    4 .                                                                                                                        go
                      ,
                                                 wn below are those of                      endant an I were placed thereon by sa d DeAepillWati
