file_name,file_origin,text
EFTA02732399.pdf,court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-50-2019-ca-014681-xxxx-mb-1,"*"""" CASE NUMBER: 502019CA014681XXMMB Div: AG ****

    Filing # 98869063 E-Filed 11/14/2019 11:06:37 AM

       FORM 1.997. CIVIL COVER SHEET
       The civil cover sheet and the information contained in it neither replace nor supplement the filing and service of pleadings
       or other documents as required by law. This form must be filed by the plaintiff or petitioner for the use of the Clerk of
       Court for the purpose of reporting judicial workload data pursuant to section 25.075, Florida Statutes. (See instructions for
       completion.)


           I.        CASE STYLE
                                          IN THE CIRCUIT COURT OF THE FIFTEENTH JUDICIAL CIRCUIT,
                                           IN AND FOR PALM BEACH COUNTY, FLORIDA



                                                                         Case No.:
                                                                         Judge:
       CA Florida Holdings LLC Publisher of PB Post
       Plaintiff
               vs.
       Dave Arenberg as State Attorney of Palm Beach Flo. Sharon R Bock as Cler                            mptroller of PB Ctv
      Defendant


           II.       TYPE OF CASE

                                                                                         Non-homestead residential foreclosure
                  O Condominium                                                          $250,00 or more
                  O Contracts and Indebtedness                                     O     Other real property actions SO - $50,000
                 .L1Eminent domain                                                 U     Other real property actions $50,001 - $249,999
                 Q Auto negligence                                                 U     Other real property actions $250,000 or more
                  O Negligence —other
                    O Business governance                                         U      Professional malpractice
                    ❑ Business torts                                                              Malpractice — business
                    ❑ Environmental/Toxic tort                                                    Malpractice — medical
                                                                                                  Malpractice — other professional
                    Q Third party indemnification
                    12 Construction defect                                           .   Other
                    O Mass tort                                                                   Antitrust/Trade Regulation
                    ❑ Neg3gent security           z                                        U Business Transaction
                    O Nursing home negligence                                                     Circuit Civil - Not Applicable
                    ❑ Premises liability — commercial                                             Constitutional challenge-statute or
                                                                                                  ordinance
                    ▪    Premises liability -residential
                                              residential
                                                                                            ❑     Constitutional challenge-proposed
                 0. Products liability                                                            amendment
                 El Real Property/Morigage foreclosure
                                                                                           OOI0OIDIDOOlo




                                                                                                  Corporate Trusts
                    O    Commercial foreclosure $0 - $50,000                                      Discrimination-employment or Other
                    ❑ ""Canmercial foreclosure 550,001 - $249,999                                  Insurance claims
                     O C14/ .•imerciai foreclosure $250,000 or more                               Intellectual property
                    O Homestead residential foreclosure $0 - 50,000                               Ubel/Slander
                    O Homestead residential foreclosure $50,001 -
                                                                                                  Shareholder derivative action
                         $249,999
                                                                                                  Securities litigation
                     ❑ Homestead residential foreclosure $250,000 or
                         more                                                                     Trade secrets
                     ❑ Non-homestead residential foreclosure $0 -                                 Trust litigation
                         $50,000
                     ❑ Non-homestead residential foreclosure
                         $50,001 - $249,999




FILED: PALM BEACH COUNTY, FL, SHARON R. BOCK, CLERK, 11/14/2019 11:06:37 AM
                                                                                                                           EFTA02732399
                                                  COMPLEX BUSINESS COURT

        This action is appropriate for assignment to Complex Business Court as delineated and mandated by the
        Administrative Order. Yes ❑ No


        III.    REMEDIES SOUGHT (check all that apply):
                   O Monetary;
                      Non-monetary declaratory or injunctive relief;
                   O Punitive

        IV.     NUMBER OF CAUSES OF ACTION: (              )
                (Specify)

                I - Fla. Section 905.27(1)(c)

        V.      IS THIS CASE A CLASS ACTION LAWSUIT?
                    Cl Yes
                    • No

        VI.     HAS NOTICE OF ANY KNOWN RELATED CASE BEEN FILED?
                  E No
                   O Yes — If ""yes"" list all related cases by name, case number and court:




        VII.    IS JURY TRIAL DEMANDED IN COMPLAINT?
                    O Yes
                    O No



I CERTIFY that the information I have provii O4fi this cover sheet is accurate to the best of my knowledge and belief, and
that I have read and will comply withpth requirements of Florida Rule of Judicial Administration 2.425.

Signature s/ Stephen A. M      elsoh        FL Bar No.: 849324
          Attorney or pa                                                  (Bar number, if attorney)

        Ste hen A          ohn           11/14/2019
                      &win name)                                             Date




                                                                                                             EFTA02732400
"
EFTA02732401.pdf,court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-50-2019-ca-014681-xxxx-mb-1,"**** CASE NUMBER: 502019CA014681XXXXMB Div: AG ****

    Filing # 98869063 E-Filed 11/14/2019 11:06:37 AM



                                                                IN THE CIRCUIT COURT, 15th
                                                                JUDICIAL CIRCUIT, IN AND FOR
                                                                PALM BEACH COUNTY, FLORIDA


                                                                CASE NO.:
               CA FLORIDA HOLDINGS, LLC,



                                                                                  A
               Publisher of THE PALM BEACH POST

                              Plaintig

                      v.


               DAVE ARONBERG, as State Attorney of
               Palm Beach County, Florida, SHARON IL
               BOCK, as Clerk and Comptroller of Palm
                                                                                Cos
               Beach County, Florida,

                              Defendants.




                                     Dave Aronber         Attorney of
                                     Palm Beach •         rida
                                     401 N. D.
                                     West P       , Florida 33401


               A lawsuit has been led againt you. You have 20 calendar days after this summons is
               served on you to file         n response to the attached Complaint with the Clerk of this
               Court. A pho• call          not protect you. Your written response, including the case
               number giv              d the names of the parties, must be filed if you want the Court to
               hear yo        o e case. If you do not file your response on time, you may lose the
               case,           wages, money, and property may thereafter be taken without further
               wa            the Court. There are other legal requirements. You may want to call an
