file_name,file_origin,text
EFTA02732399.pdf,court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-50-2019-ca-014681-xxxx-mb-1,"~™=* CASE NUMBER: 502019CA014681XXXAXMB Div: AG ****
Filing # 98869063 E-Filed 11/14/2019 11:06:37 AM
FORM 1.997. CIVIL COVER SHEET
The civil cover sheet and the information contained in it neither replace nor supplement the filing and service of pleadings
or other documents as required by law. This form must be filed by the plaintiff or petitioner for the use of the Clerk of
Court for the purpose of reporting judicial workload data pursuant to section 25.075, Florida Statutes. (See instructions for
completion.)
l. CASE STYLE
IN THE CIRCUIT COURT OF THE FIFTEENTH JUDICIAL CIRCUIT,
IN AND FOR PALM BEACH COUNTY, FLORIDA
Case No.:
Judge:
CA Florida Holdings LLC Publisher of PB Post
Plaintiff
V5.
Dave Aronbere as State Attorney of Palm Beach Flo, Sharon R Bock as Clerkiand Comptroller of PB Ch
Defendant
ll. TYPE OF CASE
@ Non-homestead residential foreclosure
0 Condominium $200,00 or more
O Contracts and indebtedness () Other real property actions $0 - $50,000
O Eminent domain QO) Other real property actions $50,001 - $249,999
O Auto negligence © ~—sOther real property actions $250,000 or more
O Negligence = other
O Business govemance L ~=- Professional malpractice
Os Business torts iJ Matpractice - business
O — Environmental/Toxic tort Malpractice —medical
~~ Third party indemnification Malpractice — other professional
O Construction defect Bi (Other
Cl Mass tort CO AntitrustTrade Regulation
oO Negligent security CC sSOBBussiness Transaction
oO Nursing home.negligerice 3 Circuit Civil - Not Applicable
Ol sPremises ability — commercial Os Ganstitutional challenge-statute or
Gl Premissa [EbIER, seskiental oO conetitational challenge-proposed
1) Products liability amendment
oO Real Propenty/Morigage foreclosure oO Corporate Trusts
O° “Commercial foreclosure $50,001 - $249,999 O sinaurance claime
O Commercial foreclosure $250,000 or more O Intellectual property
QO Homestead residential foreclosure $0 — 50,000 0 Libe/Slander
Oo oro ose residential foreclosure $50,001 - oO Shareholder derivative action
O Homestead residential foreclosure $250,000 or — Securities litigation
more iJ Trade secrets
Ol Non-homestead residential foreclosure $0 - Lt Trust iingation
$50,000
Ol Noen-homestead residential foreclosure
$20,001 - $249,999
FILED: PALM BEACH COUNTY, FL, SHARON R. BOCK, CLERK, 11/14/2019 11:06:37 AM
EFTA02732399
 COMPLEX BUSINESS COURT
This action is appropriate for assignment to Complex Business Court as delineated and mandated by the
Administrative Order. Yes (J No &)
lI. REMEDIES SOUGHT (check all that apply):
Ol Monetary:
& Non-monetary declaratory or injunctive relief;
{1 Punitive
IV. NUMBER OF CAUSES OF ACTION: ( —)
(Specify) a\
| - Fla. Section 905.27(1 ic) Q
V. IS THIS CASE A CLASS ACTION LAWSUIT? ~ C)
0 Yes ( |
& No
Vi. HAS NOTICE OF ANY KNOWN RELATED CASE BE Ate)
& No
LI Yes —Ilf""yes* list all related cases by Kee ber and court:
Vil. IS JURY TRIAL DEMANDED IN COM Ang?
LI Yes
& No
